username,امتیاز از منشن,لایک پست
helina_kh_8,7,بله
maryam.riahypoor52,2,بله
naser.gh36,1,بله
mart_teatr,5,بله
mohamadhosein7628,7,بله
amir_kenar,1,بله
erfanahmadi597,10,بله
alireza_e_0083,2,بله
___poriya___,7,نه
bazikhore_boardgame,8,بله
pra.parsa,7,بله
hheea_arrtt,1,نه
baziebozorgan,2,بله
ehsan_ziaei,4,نه
habib_boardgamer,2,بله
mahmoud.z6732,5,بله
a_abdolmaleki,3,بله
amirhossein87549,5,بله
persianboardgamer,1,بله
erfan.ehsanalaee,6,بله
boardgamebaaaz,8,بله
milad.ehteshami,2,بله
s.f.banihashemi,4,بله
barayebazi12,1,بله
ms.boardgamer,7,بله
s.imanijavid,6,بله
ali.__.zzzz,7,بله
rahnemounmohsen,0,نه
ali.zalpor13,6,بله
